Level,F1-Score,Precision,Recall
I,0.673015873015873,0.507177033492823,1.0
B,0.0,0.0,0.0
AVG_MICRO,0.6553323029366306,,
AVG_MICRO,0.3365079365079365,,
I,0.8140703517587939,0.8852459016393442,0.7534883720930232
B,0.6111111111111113,0.5789473684210527,0.6470588235294118
AVG_MICRO,0.7972350230414746,,
AVG_MICRO,0.7125907314349527,,
I,0.8676789587852495,0.7874015748031497,0.966183574879227
B,0.9090909090909092,0.9375,0.8823529411764706
AVG_MICRO,0.8704453441295547,,
AVG_MICRO,0.8883849339380793,,
I,0.899441340782123,0.817258883248731,1.0
B,0.0,0.0,0.0
AVG_MICRO,0.8609625668449199,,
AVG_MICRO,0.4497206703910615,,
I,0.8975609756097562,0.8141592920353983,1.0
B,0.75,0.75,0.75
AVG_MICRO,0.8868778280542986,,
AVG_MICRO,0.8237804878048781,,
I,0.9421052631578948,1.0,0.8905472636815921
B,0.9444444444444444,1.0,0.8947368421052632
AVG_MICRO,0.9423076923076924,,
AVG_MICRO,0.9432748538011696,,
I,0.956268221574344,0.9371428571428572,0.9761904761904762
B,0.8333333333333334,0.75,0.9375
AVG_MICRO,0.9445910290237468,,
AVG_MICRO,0.8948007774538387,,
I,0.9836065573770492,0.967741935483871,1.0
B,0.9375,0.9375,0.9375
AVG_MICRO,0.9798994974874372,,
AVG_MICRO,0.9605532786885246,,
I,0.9484536082474228,0.9019607843137256,1.0
B,0.787878787878788,0.7647058823529411,0.8125
AVG_MICRO,0.9358669833729216,,
AVG_MICRO,0.8681661980631054,,
I,0.9396325459317586,1.0,0.8861386138613861
B,0.9714285714285714,0.9444444444444444,1.0
AVG_MICRO,0.9423076923076922,,
AVG_MICRO,0.955530558680165,,
